country_name,country_code,population,gdp_per_cap
Algeria,DZA,42.01,4055.2472110962894
Egypt,EGY,99.38,2412.72708185213
Libya,LBY,6.47,5978.042925657281
Morocco,MAR,36.19,3022.9279201897803
Sudan,SDN,41.51,2898.5493455103997
Tunisia,TUN,11.66,3464.41689038656
Burundi,BDI,11.22,292.005210338326
Comoros,COM,0.83,1312.3339253661
Djibouti,DJI,0.97,1927.58970569415
Eritrea,ERI,5.19,
Ethiopia,ETH,107.53,767.563477815809
Kenya,KEN,50.95,1594.83492628749
Madagascar,MDG,26.26,449.722381894452
Malawi,MWI,19.16,338.48443034090303
Mauritius,MUS,1.27,10490.5039701879
Mozambique,MOZ,30.53,426.221961866327
Rwanda,RWA,12.5,748.292094303551
Seychelles,SYC,0.1,15629.3059375489
Somalia,SOM,15.18,478.34417487427396
South Sudan,SSD,12.92,
Uganda,UGA,44.27,606.468453487644
Zambia,ZMB,17.61,1513.27631610687
Zimbabwe,ZWE,16.91,1333.3956627939301
Angola,AGO,30.77,4100.28978571722
Cameroon,CMR,24.68,1451.86574665297
Central African Republic,CAF,4.74,418.41128703618205
Chad,TCD,15.35,662.50011455695
Congo,COG,5.4,1654.01032176396
Equatorial Guinea,GNQ,1.31,9697.6302336089
Gabon,GAB,2.07,7413.795206983051
Sao Tome and Principe,STP,0.21,1921.2844729345602
Botswana,BWA,2.33,7595.6111411324
Eswatini,SWZ,1.39,3242.75106472334
Lesotho,LSO,2.26,1154.44424617304
Namibia,NAM,2.59,5230.77172599964
South Africa,ZAF,57.4,6151.0779553128505
Benin,BEN,11.49,827.3936793946671
Burkina Faso,BFA,19.75,642.0371482690371
Cabo Verde,CPV,0.55,3244.4095609362703
Gambia,GMB,2.16,709.077157975436
Ghana,GHA,29.46,2046.10998628582
Guinea,GIN,13.05,823.493715477397
Guinea-Bissau,GNB,1.91,723.609411897261
Liberia,LBR,4.85,694.319582848856
Mali,MLI,19.11,827.0064008074651
Mauritania,MRT,4.54,1136.76459079339
Niger,NER,22.31,378.05925230381797
Nigeria,NGA,195.88,1968.42552277442
Senegal,SEN,16.29,1329.30422834628
Sierra Leone,SLE,7.72,499.529103314974
Togo,TGO,7.99,610.151730130474
Antigua and Barbuda,ATG,0.1,14803.0109275452
Aruba,ABW,0.11,25655.1020217537
Bahamas,BHS,0.4,30762.0124392644
Barbados,BRB,0.29,16356.9801098282
British Virgin Islands,VGB,0.03,
Cayman Islands,CYM,0.06,
Cuba,CUB,11.49,8433.09269880212
Curaçao,CUW,0.16,
Dominica,DMA,0.07,6719.33716604667
Dominican Republic,DOM,10.88,7052.258838968579
Grenada,GRD,0.11,10451.0298752265
Haiti,HTI,11.11,765.683924629642
Jamaica,JAM,2.9,5114.041080784829
Puerto Rico,PRI,3.66,
Saint Kitts and Nevis,KNA,0.06,17924.065464376697
Saint Lucia,LCA,0.18,9715.194785938
Sint Maarten (Dutch part),SXM,0.04,
Trinidad and Tobago,TTO,1.37,16126.3709498173
Turks and Caicos Islands,TCA,0.04,
United States Virgin Islands,VIR,0.1,
Belize,BLZ,0.38,4971.2016355246205
Costa Rica,CRI,4.95,11677.2690372725
El Salvador,SLV,6.41,3889.3087689540703
Guatemala,GTM,17.25,4470.9895719118895
Honduras,HND,9.42,2480.12592858547
Mexico,MEX,130.76,8910.33317708802
Nicaragua,NIC,6.28,2221.80644458727
Panama,PAN,4.16,15196.397339969199
Argentina,ARG,44.69,14398.358770905501
Brazil,BRA,210.87,9812.27853101845
Chile,CHL,18.2,15346.4496997595
Colombia,COL,49.46,6408.92001169297
Ecuador,ECU,16.86,6273.48889235625
Guyana,GUY,0.78,4655.14444757034
Paraguay,PRY,6.9,5823.76613678902
Peru,PER,32.55,6571.92864469964
Suriname,SUR,0.57,5317.38953875323
Uruguay,URY,3.47,16245.598367743101
Bermuda,BMU,0.06,
Canada,CAN,36.95,44870.7761570967
Greenland,GRL,0.06,
United States of America,USA,326.77,59927.9302860566
Kazakhstan,KAZ,18.4,9030.31880602652
Kyrgyzstan,KGZ,6.13,1220.47349811901
Tajikistan,TJK,9.11,801.0508712675099
Turkmenistan,TKM,5.85,6586.625862686
Uzbekistan,UZB,32.37,1533.85203766488
China,CHN,1415.05,8826.99409574835
"China, Hong Kong SAR",HKG,7.43,46193.6145204282
Japan,JPN,127.19,38430.2912440159
Mongolia,MNG,3.12,3717.4733888289597
Republic of Korea,KOR,51.16,29742.8388613471
Brunei Darussalam,BRN,0.43,28290.585195571202
Cambodia,KHM,16.25,1384.42318730336
Indonesia,IDN,266.8,3846.41570922305
Malaysia,MYS,32.04,9951.544153272409
Myanmar,MMR,53.86,1256.6606748179
Philippines,PHL,106.51,2988.9527033580202
Singapore,SGP,5.79,57714.2966313778
Thailand,THA,69.18,6595.004124580171
Timor-Leste,TLS,1.32,2279.2532035787804
Viet Nam,VNM,96.49,2342.24400272117
Afghanistan,AFG,36.37,550.068458763852
Bangladesh,BGD,166.37,1516.51326956437
Bhutan,BTN,0.82,3130.23354261776
India,IND,1354.05,1979.3643005306
Iran (Islamic Republic of),IRN,82.01,5593.85378338148
Maldives,MDV,0.44,11151.069206828999
Nepal,NPL,29.62,849.0110426042701
Pakistan,PAK,200.81,1547.8534136692901
Sri Lanka,LKA,20.95,4073.73651945177
Armenia,ARM,2.93,3936.7983196528703
Azerbaijan,AZE,9.92,4135.13860142071
Bahrain,BHR,1.57,23739.1571732062
Cyprus,CYP,1.19,25658.7996638379
Georgia,GEO,3.91,4045.41896743873
Iraq,IRQ,39.34,5017.968064653471
Israel,ISR,8.45,40543.5841665702
Jordan,JOR,9.9,4129.75166443689
Kuwait,KWT,4.2,29040.363709111698
Lebanon,LBN,6.09,8808.58944759405
Oman,OMN,4.83,15267.445015520902
Qatar,QAT,2.69,63249.4224329057
Saudi Arabia,SAU,33.55,20849.2913686605
State of Palestine,PSE,5.05,3094.72574681783
Syrian Arab Republic,SYR,18.28,
Turkey,TUR,81.92,10546.1525631603
United Arab Emirates,ARE,9.54,40698.8493360368
Yemen,YEM,28.92,1106.80390649944
Belarus,BLR,9.45,5733.30720988764
Bulgaria,BGR,7.04,8228.011569726501
Czechia,CZE,10.63,20379.8960396417
Hungary,HUN,9.69,14278.8744978024
Poland,POL,38.1,13863.548420276298
Republic of Moldova,MDA,4.04,2290.23514961625
Romania,ROU,19.58,10819.2440243784
Russian Federation,RUS,143.96,10749.056065814499
Slovakia,SVK,5.45,17579.259399142098
Ukraine,UKR,44.01,2639.82432586795
Denmark,DNK,5.75,57218.8519619271
Estonia,EST,1.31,20200.375592040902
Faroe Islands,FRO,0.05,
Finland,FIN,5.54,45804.6542078846
Iceland,ISL,0.34,71311.78512079
Ireland,IRL,4.8,68885.4503790221
Isle of Man,IMN,0.08,
Latvia,LVA,1.93,15684.558518648999
Lithuania,LTU,2.88,16809.6482569674
Norway,NOR,5.35,75704.24869812469
Sweden,SWE,9.98,53253.476641119196
United Kingdom,GBR,66.57,39953.573056328
Albania,ALB,2.93,4537.579055564221
Andorra,AND,0.08,39146.5488360906
Bosnia and Herzegovina,BIH,3.5,5148.208516959389
Croatia,HRV,4.16,13386.512859433999
Gibraltar,GIB,0.03,
Greece,GRC,11.14,18885.4759826453
Italy,ITA,59.29,32110.0272619967
Malta,MLT,0.43,26748.2074087536
Montenegro,MNE,0.63,7784.06528996557
Portugal,PRT,10.29,21291.431209519098
San Marino,SMR,0.03,48888.0251667051
Serbia,SRB,8.76,5901.223013079929
Slovenia,SVN,2.08,23601.4027758769
Spain,ESP,46.4,28208.300405271802
Austria,AUT,8.75,47380.8296365373
Belgium,BEL,11.5,43467.445895672005
France,FRA,65.23,38484.1899236567
Germany,DEU,82.29,44665.50636579809
Liechtenstein,LIE,0.04,
Luxembourg,LUX,0.59,104498.738671031
Monaco,MCO,0.04,
Netherlands,NLD,17.08,48482.766210438895
Switzerland,CHE,8.54,80342.8463384363
Australia,AUS,24.77,53793.5372560884
New Zealand,NZL,4.75,42583.084734458396
Fiji,FJI,0.91,5589.38883340896
New Caledonia,NCL,0.28,
Papua New Guinea,PNG,8.42,2488.8996969279997
Solomon Islands,SLB,0.62,2132.11506835431
Vanuatu,VUT,0.28,3123.6145908238695
Guam,GUM,0.17,35675.7941654641
Kiribati,KIR,0.12,1594.29287043422
Marshall Islands,MHL,0.05,3843.11988350106
Nauru,NRU,0.01,8844.74280553977
Northern Mariana Islands,MNP,0.06,28888.0023211954
Palau,PLW,0.02,13338.096552993702
American Samoa,ASM,0.06,11394.475296993201
French Polynesia,PYF,0.29,
Samoa,WSM,0.2,4280.8389154713595
Tonga,TON,0.11,3959.07975653834
Tuvalu,TUV,0.01,3549.9747412838396
